Cuanexo,Submodalidad
060826400,Secundaria
060826600,Primaria
060826700,Primaria
060826900,Primaria
060827000,Primaria
060827200,Primaria
060827300,Primaria
060827400,Primaria
060827500,Secundaria
060827600,Primaria
060827700,Secundaria
060827800,Primaria
060827900,Primaria
060828100,Primaria
060828200,Primaria
060828300,Nivel inicial
060828400,Primaria
060828500,Nivel inicial
060828600,Primaria
060828700,Nivel inicial
060828700,Primaria
060828800,Secundaria
060828900,Secundaria
060829000,Primaria
060829100,Primaria
060829200,Secundaria
060829300,Primaria
060829400,Nivel inicial
060829500,Primaria
060829600,Primaria
060829700,Secundaria
060829900,Primaria
060830000,Primaria
060830100,Nivel inicial
060830200,Primaria
060830300,Secundaria
060830400,Secundaria
060830500,Primaria
060830600,Secundaria
060830700,Primaria
060830800,No Universitario
060830900,Secundaria
060831000,Primaria
060831100,Secundaria
060831300,No Universitario
060831400,Nivel inicial
060831500,No Universitario
060831900,Nivel inicial
060832000,Nivel inicial
060832100,Secundaria
060832200,Primaria
060832300,Secundaria
060832400,Nivel inicial
060832500,Primaria
060832600,Primaria
060832700,Primaria
060832800,Primaria
060832900,Primaria
060833000,Primaria
060833100,Secundaria
060833200,Primaria
060833300,Nivel inicial
060833300,Primaria
060833400,Primaria
060833500,Primaria
060833600,Primaria
060833700,Nivel inicial
060833800,Primaria
060833900,Primaria
060834000,Primaria
060834200,Nivel inicial
060834300,Nivel inicial
060834400,Nivel inicial
060834600,Primaria
060834700,Secundaria
060834800,Secundaria
060834900,Primaria
060835000,Secundaria
060835100,Primaria
060835200,Secundaria
060835300,Nivel inicial
060835600,Primaria
060835700,Nivel inicial
060835900,Nivel inicial
060835900,Primaria
060836000,Nivel inicial
060836100,Primaria
060836200,Nivel inicial
060836300,No Universitario
060836400,Nivel inicial
060836500,Secundaria
060836600,Primaria
060836700,Secundaria
060836702,Secundaria
060836900,Nivel inicial
060837000,Primaria
060837100,Nivel inicial
060837200,Nivel inicial
060837300,Primaria
060837400,Primaria
060837500,No Universitario
060837900,Nivel inicial
060838000,Primaria
060838100,Primaria
060838300,Primaria
060838600,Primaria
060838700,Primaria
060838800,Secundaria
060838803,Secundaria
060838900,Primaria
060839100,Nivel inicial
060839200,Primaria
060839400,Primaria
060839500,Nivel inicial
060839500,Primaria
060839600,No Universitario
060839700,Primaria
060839800,Primaria
060839900,Primaria
060840000,Nivel inicial
060840100,Nivel inicial
060840100,Primaria
060840200,Nivel inicial
060840200,Primaria
060840300,Primaria
060840400,Primaria
060840500,Primaria
060840600,Nivel inicial
060840600,Primaria
060840700,Primaria
060840800,Secundaria
060840900,Primaria
060841100,Secundaria
060841101,Secundaria
060841300,No Universitario
060841400,Primaria
060841500,Primaria
060841600,Nivel inicial
060841700,Primaria
060841900,Primaria
060842000,Secundaria
060842100,Primaria
060842200,Primaria
060842300,Secundaria
060842400,Secundaria
060842500,Primaria
060842600,Secundaria
060842800,Secundaria
060842900,Secundaria
060843000,Primaria
060843200,Secundaria
060843300,Nivel inicial
060843400,Nivel inicial
060843700,Secundaria
060843800,Secundaria
060843900,Nivel inicial
060844000,Primaria
060844200,Nivel inicial
060844400,Primaria
060844500,Primaria
060844600,Primaria
060844700,Primaria
060844800,Nivel inicial
060844900,Primaria
060845000,Secundaria
060845100,Primaria
060845200,Primaria
060845300,Primaria
060845500,Nivel inicial
060845600,Secundaria
060845700,Secundaria
060845800,Primaria
060845900,No Universitario
060846000,Nivel inicial
060846100,Nivel inicial
060846200,Nivel inicial
060846300,Secundaria
060846400,Primaria
060846700,Primaria
060846800,Secundaria
060846900,Primaria
060847000,Secundaria
060847100,Primaria
060847200,Primaria
060847400,Primaria
060847500,Primaria
060847600,Nivel inicial
060847700,Nivel inicial
060848000,Secundaria
060848300,Secundaria
060848500,Nivel inicial
060848600,Nivel inicial
060848700,Nivel inicial
060848800,Primaria
060848900,Secundaria
060849000,Primaria
060849300,Nivel inicial
060849300,Primaria
060849400,Primaria
060849500,Nivel inicial
060849600,Primaria
060849700,Nivel inicial
060849800,Primaria
060849900,Nivel inicial
060850100,Secundaria
060850300,Secundaria
060850400,Primaria
060850500,Nivel inicial
060850600,Primaria
060850700,Nivel inicial
060850800,Nivel inicial
060850900,Nivel inicial
060851100,Nivel inicial
060851300,No Universitario
060851500,Secundaria
060851600,Primaria
060851700,Secundaria
060851800,Secundaria
060851900,Nivel inicial
060851900,Primaria
060852000,Nivel inicial
060852100,No Universitario
060852200,Primaria
060852300,Primaria
060852400,Primaria
060852500,Primaria
060852600,Nivel inicial
060852700,Nivel inicial
060852800,Nivel inicial
060852900,Primaria
060853200,Primaria
060853300,Nivel inicial
060853400,Primaria
060853500,Primaria
060853600,Primaria
060853700,Primaria
060853800,Primaria
060853900,Primaria
060854000,Nivel inicial
060854100,Secundaria
060854200,Primaria
060854300,Secundaria
060854400,Nivel inicial
060854500,Nivel inicial
060854600,Primaria
060854700,Primaria
060854800,Primaria
060854900,Primaria
060855000,Secundaria
060855001,Secundaria
060855100,Secundaria
060855200,Secundaria
060855300,Primaria
060855400,Secundaria
060855500,Secundaria
060855600,Secundaria
060855700,Primaria
060855800,Primaria
060855900,Primaria
060856000,Primaria
060856100,Primaria
060856300,Secundaria
060856400,Nivel inicial
060856500,Primaria
060856600,Nivel inicial
060856700,Nivel inicial
060856900,Nivel inicial
060857100,Secundaria
060857300,Primaria
060857400,Secundaria
060857600,Primaria
060857700,Secundaria
060857701,Secundaria
060857702,Secundaria
060857800,Nivel inicial
060857900,Primaria
060858000,Nivel inicial
060858100,Primaria
060858200,Nivel inicial
060858300,Secundaria
060858400,Secundaria
060858500,Secundaria
060858600,Primaria
060858700,Primaria
060858800,Primaria
060858900,Secundaria
060859000,Primaria
060859100,Secundaria
060859200,Nivel inicial
060859300,Secundaria
060859400,Primaria
060859500,Nivel inicial
060859600,Secundaria
060859700,Nivel inicial
060859800,Primaria
060859900,Primaria
060860000,Nivel inicial
060860000,Primaria
060860100,Secundaria
060860200,No Universitario
060860300,Secundaria
060860400,No Universitario
060860500,Secundaria
060860600,Primaria
060860800,Nivel inicial
060860900,No Universitario
060861000,Nivel inicial
060861100,Secundaria
060861200,Secundaria
060861300,Primaria
060861400,Primaria
060861500,Primaria
060861600,Nivel inicial
060861800,Primaria
060861900,Nivel inicial
060862100,Primaria
060862300,Secundaria
060862400,Secundaria
060862600,Primaria
060862700,Secundaria
060862800,Nivel inicial
060862800,Primaria
060862900,Secundaria
060863000,No Universitario
060863100,Primaria
060863200,Primaria
060863300,Primaria
060863400,Secundaria
060863500,Secundaria
060863600,Primaria
060863700,Primaria
060863800,Secundaria
060863900,Secundaria
060864000,Primaria
060864100,Secundaria
060864200,Primaria
060864300,Primaria
060864400,Primaria
060864500,No Universitario
060864600,Secundaria
060864700,Nivel inicial
060864900,Secundaria
060865000,Nivel inicial
060865100,Secundaria
060865200,Secundaria
060865300,Primaria
060865400,Nivel inicial
060865500,Primaria
060865600,No Universitario
060865800,Secundaria
060865900,Secundaria
060866000,Secundaria
060866100,Secundaria
060866101,Secundaria
060866300,Secundaria
060866400,Secundaria
060866500,Nivel inicial
060866600,Primaria
060866700,Secundaria
060866800,Primaria
060867000,Primaria
060867100,Secundaria
060867200,Nivel inicial
060867300,Nivel inicial
060867300,Primaria
060867500,Nivel inicial
060867700,Primaria
060867800,Primaria
060867900,Secundaria
060868000,Nivel inicial
060868100,Primaria
060868200,Secundaria
060868300,Secundaria
060868400,Nivel inicial
060868500,Primaria
060868600,Nivel inicial
060868700,Nivel inicial
060868800,Secundaria
060868900,Primaria
060869000,Primaria
060869100,Nivel inicial
060869200,Primaria
060869300,Nivel inicial
060869400,Nivel inicial
060869500,Nivel inicial
060869800,Nivel inicial
060869900,Nivel inicial
060870000,Nivel inicial
060870100,Primaria
060870200,Nivel inicial
060870300,Nivel inicial
060870400,Nivel inicial
060870400,Primaria
060870500,Primaria
060870600,Secundaria
060870700,Primaria
060870800,Secundaria
060870900,Nivel inicial
060871000,Primaria
060871100,Secundaria
060871101,Secundaria
060871200,Primaria
060871300,Primaria
060871700,Nivel inicial
060871800,Secundaria
060871900,Primaria
060872400,Primaria
060872600,Primaria
060872700,Primaria
060872800,Primaria
060872900,Primaria
060873100,Primaria
060873500,Secundaria
060873600,Secundaria
060873700,Primaria
060873800,Nivel inicial
060873900,Secundaria
060874000,Primaria
060874100,Primaria
060874200,Secundaria
060874300,Primaria
060874400,Primaria
060874500,Secundaria
060874600,Nivel inicial
060874700,Secundaria
060874800,Primaria
060875000,Secundaria
060875100,Secundaria
060875300,Primaria
060875400,Nivel inicial
060875500,Nivel inicial
060875600,Primaria
060875800,Nivel inicial
060875900,Nivel inicial
060876100,Primaria
060876200,Primaria
060876300,Nivel inicial
060876400,Primaria
060876500,Primaria
060876600,Primaria
060876700,Secundaria
060876800,Secundaria
060876801,Secundaria
060876900,Secundaria
060877000,Primaria
060877100,Primaria
060877300,Secundaria
060877400,Primaria
060877500,Secundaria
060877700,Nivel inicial
060877900,No Universitario
060878000,Primaria
060878100,Nivel inicial
060878200,No Universitario
060878300,Nivel inicial
060878400,Nivel inicial
060878500,Secundaria
060878600,Primaria
060878700,Secundaria
060878900,Primaria
060879000,Primaria
060879100,Nivel inicial
060879200,Primaria
060879400,Secundaria
060879600,Nivel inicial
060879700,Nivel inicial
060879800,Primaria
060879900,Primaria
060880000,Primaria
060880100,Nivel inicial
060880200,Primaria
060880800,Primaria
060880900,Primaria
060881000,Primaria
060881100,Primaria
060881200,Primaria
060881300,Primaria
060881400,Primaria
060881500,Primaria
060881600,Secundaria
060881700,Nivel inicial
060881800,Primaria
060882100,Secundaria
060882200,Primaria
060882400,Primaria
060882500,Primaria
060882600,Nivel inicial
060882600,Primaria
060882700,Nivel inicial
060882800,Primaria
060882900,Primaria
060883100,Secundaria
060883200,Nivel inicial
060883300,Nivel inicial
060883400,Secundaria
060883500,Nivel inicial
060883600,Primaria
060884100,Secundaria
060884200,Primaria
060884400,Primaria
060884500,Primaria
060884600,Secundaria
060884700,Primaria
060884900,Secundaria
060885000,Secundaria
060885100,Secundaria
060885300,Secundaria
060885400,Primaria
060885500,Primaria
060885600,Primaria
060885700,Secundaria
060885800,Nivel inicial
060885800,Primaria
060885900,Nivel inicial
060886000,Primaria
060886100,Nivel inicial
060886200,Primaria
060886300,Primaria
060886400,Secundaria
060886600,Secundaria
060886700,Nivel inicial
060886800,Nivel inicial
060886900,Primaria
060887000,Primaria
060887100,Primaria
060887300,Nivel inicial
060887400,Nivel inicial
060887500,Secundaria
060887600,Primaria
060887900,Primaria
060888000,Primaria
060888100,Secundaria
060888200,Secundaria
060888300,Secundaria
060888400,Secundaria
060888500,Nivel inicial
060888600,Primaria
060888700,Primaria
060888800,Nivel inicial
060888900,Secundaria
060889000,Secundaria
060889001,Secundaria
060889100,Secundaria
060889200,Secundaria
060889201,Secundaria
060889400,Nivel inicial
060889500,Nivel inicial
060889600,Nivel inicial
060889600,Primaria
060889700,Primaria
060889800,Primaria
060889900,Nivel inicial
060890000,Nivel inicial
060890100,Primaria
060890400,Primaria
060890600,No Universitario
060890700,Secundaria
060890800,Secundaria
060890900,Secundaria
060890901,Secundaria
060891000,Secundaria
060891001,Secundaria
060891100,Nivel inicial
060891200,Primaria
060891400,Primaria
060891500,Nivel inicial
060891600,Secundaria
060891700,Nivel inicial
060891800,Primaria
060891900,Nivel inicial
060892100,Primaria
060892200,Primaria
060892300,Primaria
060892400,Secundaria
060892500,Primaria
060892600,Primaria
060892700,Secundaria
060892800,Primaria
060892900,Nivel inicial
060893000,Secundaria
060893100,Primaria
060893200,Primaria
060893300,Primaria
060893400,Primaria
060893500,Nivel inicial
060893600,Primaria
060893700,Primaria
060893800,Primaria
060893900,Primaria
060894000,Primaria
060894100,Primaria
060894300,Nivel inicial
060894700,Primaria
060894800,Primaria
060894900,Primaria
060895000,Nivel inicial
060895100,Secundaria
060895200,Nivel inicial
060895300,Nivel inicial
060895300,Primaria
060895400,Secundaria
060895500,Primaria
060895600,Primaria
060895700,Primaria
060895800,Secundaria
060895900,Nivel inicial
060896000,Nivel inicial
060896100,Primaria
060896200,Primaria
060896300,Primaria
060896400,Primaria
060896600,Nivel inicial
060896800,Secundaria
060896900,Secundaria
060897000,Secundaria
060897100,Primaria
060897200,Primaria
060897300,Primaria
060897500,Secundaria
060897700,Secundaria
060897800,Nivel inicial
060898000,Primaria
060898100,Primaria
060898300,Nivel inicial
060898400,Primaria
060898600,Secundaria
060898700,Primaria
060898800,Nivel inicial
060898900,Primaria
060899000,Primaria
060899100,No Universitario
060899200,Secundaria
060899300,Primaria
060899400,No Universitario
060899401,No Universitario
060899500,Nivel inicial
060899600,Secundaria
060899700,Nivel inicial
060899800,Nivel inicial
060899900,Primaria
060900000,No Universitario
060900100,Primaria
060900200,Nivel inicial
060900300,Nivel inicial
060900400,Secundaria
060900500,Primaria
060900700,Nivel inicial
060900800,Secundaria
060901000,Primaria
060901100,Nivel inicial
060901200,Primaria
060901300,Nivel inicial
060901400,Primaria
060901500,Primaria
060901600,Secundaria
060901700,Secundaria
060901800,Nivel inicial
060901800,Primaria
060902000,Secundaria
060902100,Nivel inicial
060902200,Primaria
060902300,Nivel inicial
060902400,Primaria
060902500,Secundaria
060902600,Nivel inicial
060902700,Primaria
060902800,Primaria
060902900,Secundaria
060903000,No Universitario
060903100,Primaria
060903200,Secundaria
060903300,Nivel inicial
060903400,Secundaria
060903500,Nivel inicial
060903600,Secundaria
060903700,Secundaria
060903800,Nivel inicial
060904000,Primaria
060904100,Primaria
060904200,Nivel inicial
060904300,Primaria
060904400,Secundaria
060904700,No Universitario
060904800,Nivel inicial
060904900,Primaria
060905000,Primaria
060905100,Primaria
060905200,Primaria
060905300,Primaria
060905400,Primaria
060905500,Primaria
060905600,Nivel inicial
060905900,Primaria
060906000,Nivel inicial
060906200,No Universitario
060906300,Primaria
060906400,Primaria
060906500,No Universitario
060906600,Secundaria
060906700,Primaria
060906800,Primaria
060906900,Primaria
060907000,Primaria
060907200,Secundaria
060907700,Secundaria
060907900,Secundaria
060908000,Secundaria
060908100,Secundaria
060908200,Secundaria
060908300,Nivel inicial
060908500,Primaria
060908600,Primaria
060908700,Nivel inicial
060908700,Primaria
060909000,Primaria
060909100,Secundaria
060909200,Primaria
060909300,Secundaria
060909400,Secundaria
060909500,Primaria
060909600,Nivel inicial
060909700,No Universitario
060909800,Secundaria
060909900,No Universitario
060910100,Primaria
060910200,Primaria
060910400,Nivel inicial
060910500,Primaria
060910600,Primaria
060910700,Secundaria
060910800,Primaria
060910900,Primaria
060911000,Nivel inicial
060911100,Nivel inicial
060911200,Secundaria
060911300,Primaria
060911400,Secundaria
060911600,Primaria
060911700,Primaria
060911800,Primaria
060912000,Nivel inicial
060912100,Nivel inicial
060912200,Primaria
060912300,Secundaria
060912400,Nivel inicial
060912500,Secundaria
060912800,Primaria
060912900,Primaria
060913000,Primaria
060913100,Secundaria
060913200,Nivel inicial
060913300,Nivel inicial
060913500,Primaria
060913600,Secundaria
060913700,Secundaria
060913800,Primaria
060913900,Nivel inicial
060914100,Nivel inicial
060914200,Primaria
060914600,Primaria
060914700,Nivel inicial
060914800,Nivel inicial
060914900,Primaria
060915000,Primaria
060915100,Primaria
060915200,Primaria
060915300,Nivel inicial
060915500,Secundaria
060915600,No Universitario
060915700,Nivel inicial
060915800,Primaria
060916000,Secundaria
060916200,Nivel inicial
060916300,Primaria
060916600,Nivel inicial
060916700,Nivel inicial
060916700,Primaria
060916800,Secundaria
060916900,Primaria
060917000,Primaria
060917100,Secundaria
060917200,Secundaria
060917300,Secundaria
060917400,Secundaria
060917500,Nivel inicial
060917600,Primaria
060917700,Primaria
060917900,Secundaria
060918000,No Universitario
060918100,Secundaria
060918200,Primaria
060918300,Nivel inicial
060918400,Secundaria
060918500,Secundaria
060918700,Secundaria
060918800,Nivel inicial
060919100,Secundaria
060919200,Secundaria
060919300,Secundaria
060919600,Nivel inicial
060919800,Nivel inicial
060919900,Primaria
060920000,Secundaria
060920100,Secundaria
060920200,Primaria
060920300,Primaria
060920500,Nivel inicial
060920800,No Universitario
060921000,Primaria
060921100,Primaria
060921200,Primaria
060921400,Nivel inicial
060921400,Primaria
060921500,Nivel inicial
060921600,Primaria
060921700,Nivel inicial
060921900,Nivel inicial
060922200,Nivel inicial
060922300,Nivel inicial
060922400,Nivel inicial
060922500,Nivel inicial
060922600,Primaria
060922700,Primaria
060922800,Nivel inicial
060922900,Primaria
060923000,Primaria
060923100,Primaria
060923200,Primaria
060923300,Nivel inicial
060923400,Primaria
060923500,Nivel inicial
060923600,Secundaria
060923700,No Universitario
060923800,Secundaria
060923900,Nivel inicial
060924000,Primaria
060924100,Nivel inicial
060924200,Primaria
060924300,Secundaria
060924400,Primaria
060924600,Primaria
060924700,Primaria
060924800,Primaria
060924900,Secundaria
060925100,Secundaria
060925300,Primaria
060925500,Nivel inicial
060925600,Nivel inicial
060925600,Primaria
060925700,Primaria
060926000,Primaria
060926100,Nivel inicial
060926200,Primaria
060926300,Primaria
060926400,Primaria
060926600,Primaria
060926700,Nivel inicial
060926800,Nivel inicial
060926900,Primaria
060927100,Nivel inicial
060927200,Nivel inicial
060927400,Nivel inicial
060927600,Nivel inicial
060927600,Primaria
060927700,No Universitario
060927800,Secundaria
060927900,Secundaria
060927901,Secundaria
060928000,Secundaria
060928100,Primaria
060928200,Primaria
060928300,Primaria
060928500,Primaria
060928600,Nivel inicial
060928700,Nivel inicial
060928800,Nivel inicial
060928900,No Universitario
060929100,Secundaria
060929300,Primaria
060929400,Nivel inicial
060929400,Primaria
060929500,Nivel inicial
060929500,Primaria
060929600,Secundaria
060929700,Primaria
060929800,Nivel inicial
060929800,Primaria
060929900,Secundaria
060930000,Primaria
060930100,Primaria
060930200,Primaria
060930300,Primaria
060930400,Primaria
060930500,Secundaria
060930501,Secundaria
060930502,Secundaria
060930600,Nivel inicial
060930600,Primaria
060930700,Secundaria
060930800,No Universitario
060930900,Secundaria
060931000,Primaria
060931100,Primaria
060931200,Nivel inicial
060931300,Primaria
060931400,Nivel inicial
060931500,Nivel inicial
060931600,Primaria
060931700,Primaria
060931800,Nivel inicial
060931900,Primaria
060932000,Primaria
060932200,Secundaria
060932300,Secundaria
060932400,Secundaria
060932500,No Universitario
060932600,Primaria
060932700,Nivel inicial
060932800,Primaria
060932900,Secundaria
060932901,Secundaria
060933000,Secundaria
060933100,Primaria
060933300,Primaria
060933400,Nivel inicial
060933500,Nivel inicial
060933500,Primaria
060933600,Nivel inicial
060933700,Primaria
060933800,Nivel inicial
060933900,Primaria
060934000,Primaria
060934200,Secundaria
060934300,Primaria
060934400,Nivel inicial
060934400,Primaria
060934500,Primaria
060934600,Primaria
060934700,Primaria
060934900,Secundaria
060935000,Primaria
060935100,Secundaria
060935400,Secundaria
060935900,Primaria
060936100,Primaria
060936300,Primaria
060936400,Primaria
060936500,Primaria
060936600,Nivel inicial
060936700,Nivel inicial
060936800,Nivel inicial
060936900,Nivel inicial
060937000,Nivel inicial
060937200,Primaria
060937300,Nivel inicial
060937400,Secundaria
060937500,Nivel inicial
060937500,Primaria
060937600,Primaria
060937900,Nivel inicial
060938000,Primaria
060938100,Nivel inicial
060938300,Nivel inicial
060938400,Secundaria
060938500,Primaria
060938600,Primaria
060938800,Primaria
060938900,Primaria
060939000,Primaria
060939200,Primaria
060939300,Primaria
060939400,Primaria
060939500,Primaria
060939600,Primaria
060939700,Nivel inicial
060939800,Primaria
060939900,Secundaria
060940000,Secundaria
060940100,Primaria
060940200,Nivel inicial
060940500,Primaria
060940600,Primaria
060940700,Primaria
060940800,Secundaria
060940900,No Universitario
060941100,Nivel inicial
060941100,Primaria
060941200,Primaria
060941400,Nivel inicial
060941500,Nivel inicial
060941500,Primaria
060941600,Primaria
060941700,Secundaria
060941800,Nivel inicial
060941900,Nivel inicial
060942000,Primaria
060942100,Primaria
060942400,Primaria
060942500,Primaria
060942600,Nivel inicial
060942700,Secundaria
060942800,No Universitario
060942900,Primaria
060943000,Nivel inicial
060943100,Nivel inicial
060943100,Primaria
060943200,Primaria
060943300,Primaria
060943400,Primaria
060943600,Primaria
060943700,Primaria
060943900,Secundaria
060944100,Nivel inicial
060944300,Secundaria
060944400,No Universitario
060944600,No Universitario
060944700,Primaria
060944800,Primaria
060944900,Secundaria
060945000,Primaria
060945100,Nivel inicial
060945200,Primaria
060945300,Primaria
060945400,Primaria
060945500,Nivel inicial
060945600,Primaria
060945700,Primaria
060945800,Secundaria
060945900,Nivel inicial
060946000,Primaria
060946100,Primaria
060946200,Nivel inicial
060946300,No Universitario
060946400,Secundaria
060946500,Nivel inicial
060946500,Primaria
060946600,Primaria
060946700,Primaria
060946800,Nivel inicial
060946900,Primaria
060947200,Secundaria
060947300,Secundaria
060947400,Secundaria
060947600,Secundaria
060947700,Secundaria
060947800,Secundaria
060948000,Secundaria
060948100,Secundaria
060948200,No Universitario
060948300,No Universitario
060948400,Primaria
060948500,Secundaria
060948501,Secundaria
060948600,Primaria
060948900,Secundaria
060949000,Primaria
060949100,Nivel inicial
060949200,Secundaria
060949300,Nivel inicial
060949300,Primaria
060949400,Nivel inicial
060949400,Primaria
060949500,Secundaria
060949600,Secundaria
060949700,Primaria
060949800,Primaria
060949900,Primaria
060950000,No Universitario
060950100,No Universitario
060950200,Secundaria
060950300,Secundaria
060950400,Secundaria
060950500,Secundaria
060950600,Secundaria
060950700,Primaria
060950800,Primaria
060950900,Primaria
060951000,Nivel inicial
060951100,Primaria
060951200,No Universitario
060951400,Primaria
060951500,Primaria
060951600,Primaria
060951900,Nivel inicial
060952000,Primaria
060952100,Primaria
060952200,Secundaria
060952300,Primaria
060952400,Primaria
060952500,Nivel inicial
060952600,No Universitario
060952900,Nivel inicial
060952900,Primaria
060953000,Nivel inicial
060953100,Secundaria
060953200,Nivel inicial
060953300,Primaria
060953400,No Universitario
060953401,No Universitario
060953500,No Universitario
060953600,Primaria
060953700,Primaria
060953800,Secundaria
060953900,Secundaria
060953901,Secundaria
060954100,Primaria
060954200,No Universitario
060954300,Primaria
060954400,Primaria
060954500,Primaria
060954700,Primaria
060954800,Primaria
060954900,Primaria
060955000,Primaria
060955100,Primaria
060955200,Primaria
060955300,Primaria
060955500,Primaria
060955600,Nivel inicial
060955600,Primaria
060955700,Nivel inicial
060955800,Primaria
060955900,Primaria
060956000,Secundaria
060956100,No Universitario
060956200,Primaria
060956300,Primaria
060956400,Nivel inicial
060956500,Primaria
060956600,Primaria
060956700,Primaria
060956800,Secundaria
060956900,No Universitario
060957000,Primaria
060957100,No Universitario
060957200,Primaria
060957300,Secundaria
060957400,Primaria
060957500,Secundaria
060957700,Primaria
060957800,Primaria
060957900,Nivel inicial
060958000,Primaria
060958100,Secundaria
060958200,Primaria
060958300,Nivel inicial
060958400,Primaria
060958500,Primaria
060958600,Primaria
060958700,Secundaria
060958800,Primaria
060958900,Primaria
060959000,Primaria
060959100,Primaria
060959200,Primaria
060959400,Primaria
060959500,Secundaria
060959600,Secundaria
060959700,Secundaria
060959800,Primaria
060959900,Nivel inicial
060960000,Nivel inicial
060960200,Primaria
060960300,Secundaria
060960400,No Universitario
060960401,No Universitario
060960500,Secundaria
060960600,Secundaria
060960800,No Universitario
060960900,Nivel inicial
060961000,Nivel inicial
060961100,Nivel inicial
060961300,Primaria
060961400,Nivel inicial
060961400,Primaria
060961500,Primaria
060961600,Primaria
060961700,Secundaria
060961800,Secundaria
060961900,No Universitario
060962000,Nivel inicial
060962200,Secundaria
060962300,Nivel inicial
060962400,Primaria
060962600,Nivel inicial
060962700,Nivel inicial
060962800,No Universitario
060962900,Nivel inicial
060963100,Primaria
060963200,Primaria
060963400,Nivel inicial
060963500,Secundaria
060963600,Secundaria
060963700,Secundaria
060963800,Secundaria
060963900,Secundaria
060964100,Nivel inicial
060964300,Primaria
060964400,Nivel inicial
060964500,Nivel inicial
060964600,Nivel inicial
060964700,Secundaria
060964701,Secundaria
060964702,Secundaria
060964800,Primaria
060964900,Nivel inicial
060965000,Nivel inicial
060965200,Nivel inicial
060965300,Primaria
060965500,Nivel inicial
060965700,Primaria
060965800,Nivel inicial
060965900,Nivel inicial
060966000,Primaria
060966100,Primaria
060966200,Primaria
060966300,Primaria
060966400,Secundaria
060966500,Nivel inicial
060966600,Primaria
060966700,Primaria
060966800,Nivel inicial
060966900,Secundaria
060967000,Secundaria
060967100,Primaria
060967200,Primaria
060967300,Primaria
060967400,Nivel inicial
060967500,Nivel inicial
060967700,Nivel inicial
060967800,Primaria
060967900,Primaria
060968000,Secundaria
060968100,Nivel inicial
060968300,Primaria
060968600,Secundaria
060968700,Secundaria
060968800,Primaria
060968900,Primaria
060969000,Primaria
060969100,Primaria
060969200,Secundaria
060969300,Nivel inicial
060969400,Primaria
060969500,Primaria
060969600,Nivel inicial
060969700,Nivel inicial
060969800,Nivel inicial
060969900,Primaria
060970000,Nivel inicial
060970100,Primaria
060970200,Nivel inicial
060970300,Nivel inicial
060970400,Nivel inicial
060970500,Primaria
060970600,No Universitario
060970700,No Universitario
060970800,Secundaria
060970900,No Universitario
060971100,Secundaria
060971200,Secundaria
060971400,Secundaria
060971500,Nivel inicial
060971600,Primaria
060971900,Primaria
060972000,Nivel inicial
060972100,Nivel inicial
060972200,No Universitario
060972300,Primaria
060972600,Primaria
060972700,Primaria
060972800,Secundaria
060972900,Primaria
060973000,Secundaria
060973100,Primaria
060973200,Secundaria
060973300,Secundaria
060973400,Primaria
060973500,Primaria
060973600,Primaria
060973800,Secundaria
060973900,Nivel inicial
060973900,Primaria
060974000,Primaria
060974100,Nivel inicial
060974200,Nivel inicial
060974300,Nivel inicial
060974400,Secundaria
060974500,Primaria
060974600,Primaria
060974700,No Universitario
060974701,No Universitario
060974800,Nivel inicial
060974800,Primaria
060975000,Primaria
060975100,Primaria
060975200,No Universitario
060975400,Nivel inicial
060975500,Nivel inicial
060975600,Nivel inicial
060975900,Primaria
060976000,Primaria
060976100,Primaria
060976200,Primaria
060976300,Primaria
060976400,Secundaria
060976401,Secundaria
060976500,Secundaria
060976600,Primaria
060976700,Primaria
060976800,Nivel inicial
060976900,Primaria
060977000,Primaria
060977100,Primaria
060977300,Secundaria
060977400,Nivel inicial
060977500,Primaria
060977600,Secundaria
060977700,Nivel inicial
060977800,Primaria
060977900,Primaria
060978000,Primaria
060978100,Primaria
060978200,Secundaria
060978300,Primaria
060978600,Primaria
060978700,Primaria
060978800,Secundaria
060978900,Nivel inicial
060979000,Primaria
060979100,Nivel inicial
060979200,Secundaria
060979300,Primaria
060979400,Primaria
060979500,Secundaria
060979700,Secundaria
060979800,Primaria
060979900,Nivel inicial
060980000,Secundaria
060980100,Primaria
060980200,Primaria
060980400,Primaria
060980500,Primaria
060980600,Secundaria
060980700,Nivel inicial
060980900,Primaria
060981000,Primaria
060981100,Nivel inicial
060981200,Nivel inicial
060981300,Primaria
060981400,Secundaria
060981401,Secundaria
060981500,Secundaria
060981600,Primaria
060981700,Secundaria
060981800,Primaria
060982000,Primaria
060982100,Primaria
060982200,Primaria
060982300,Primaria
060982500,Primaria
060982600,Secundaria
060982700,No Universitario
060982800,Secundaria
060982900,Secundaria
060983000,Secundaria
060983100,Primaria
060983200,Primaria
060983300,Primaria
060983400,Nivel inicial
060983500,Primaria
060983700,Secundaria
060983800,Nivel inicial
060984100,Nivel inicial
060984300,Nivel inicial
060984500,Primaria
060984800,Primaria
060984900,Secundaria
060985000,Secundaria
060985100,Nivel inicial
060985200,Primaria
060985400,Nivel inicial
060985500,Primaria
060985600,Secundaria
060985800,Primaria
060985900,Primaria
060986000,Primaria
060986100,Nivel inicial
060986300,Nivel inicial
060986400,Primaria
060986500,No Universitario
060986600,Secundaria
060986700,Primaria
